stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3108,3108,Fulton & Stanislaus Eastbound,Fulton And Stanislaus East Bound,,37.9852003,-121.2921623,0.0,,,,,0
3109,3109,Alvarado & Oak Park Southbound,Alvarado And Oak Park South Bound,,37.9845533,-121.290062,0.0,,,,,0
3110,3110,Alvarado & Alpine Southbound,Alvarado And Alpine South Bound,,37.9833525,-121.2895731,0.0,,,,,0
3111,3111,California & Walnut Southbound,California And Walnut South Bound,,37.9698341,-121.2890861,0.0,,,,,0
3112,3112,San Joaquin & Lafayette Southbound,San Joaquin And Lafayette South Bound,,37.950428,-121.2865675,0.0,,,,,0
3113,3113,San Joaquin & Hazelton Southbound,San Joaquin And Hazelton South Bound,,37.9475701,-121.2857751,0.0,,,,,0
7029,7029,San Joaquin & Taylor Northbound,San Joaquin And Taylor North Bound,,37.945029,-121.2848846,0.0,,,,,0
3114,3114,San Joaquin & Anderson Southbound,San Joaquin And Anderson South Bound,,37.9434156,-121.2846401,0.0,,,,,0
3115,3115,San Joaquin & Jackson Southbound,San Joaquin And Jackson South Bound,,37.9408831,-121.2839531,0.0,,,,,0
7033,7033,San Joaquin & Martin Luther King Southbound,San Joaquin And Mlk South Bound,,37.939127,-121.2834655,,,,,,0
3116,3116,San Joaquin & 2Nd Southbound,San Joaquin And 2Nd South Bound,,37.9369538,-121.2828473,0.0,,,,,0
3117,3117,San Joaquin & 4Th Southbound,San Joaquin And 4Th South Bound,,37.9341423,-121.2820606,0.0,,,,,0
3118,3118,San Joaquin & 6Th Southbound,San Joaquin And 6Th South Bound,,37.9319821,-121.281502,0.0,,,,,0
3120,3120,El Dorado & 9Th Southbound,El Dorado And 9Th South Bound,,37.9271321,-121.2821935,0.0,,,,,0
3121,3121,El Dorado & Mosswood Southbound,El Dorado And Mosswood South Bound,,37.924771,-121.2812361,,,,,,0
3122,3122,Mosswood & Commerce Eastbound,Mosswood And Commerce East Bound,,37.9240278,-121.2827721,0.0,,,,,0
3123,3123,Odell & Mosswood Southbound,Odell And Mosswood South Bound,,37.9231638,-121.2855406,0.0,,,,,0
3124,3124,Odell & Horton Southbound,Odell And Horton South Bound,,37.9207391,-121.2845576,0.0,,,,,0
3125,3125,Odell & Ivy Southbound,Odell And Ivy South Bound,,37.9178726,-121.2833674,0.0,,,,,0
7034,7034,Clayton & Odell Eastbound,Clayton And Odell East Bound,,37.9101663,-121.2799813,,,,,,0
3130,3130,El Dorado & French Camp Southbound,El Dorado And French Camp South Bound,,37.8907545,-121.2764736,0.0,,,,,0
3131,3131,Hospital & El Dorado Westbound,Hospital And El Dorado West Bound,,37.8858843,-121.2771481,0.0,,,,,0
3869,3869,Carolyn Weston & Ews Woods Westbound,Carolyn Weston And Ews Woods West Bound,CAROLYN WESTON BLVD & E.W.S. WOODS BLVD,37.9116496,-121.3056566,0.0,,,,,0
3855,3855,Church & San Jose Eastbound,Church And San Jose East Bound,,37.9451619,-121.303904,0.0,,,,,0
7037,7037,Lincoln & Weber Northbound,Lincoln And Weber North Bound,LINCOLN ST & WEBER AVE,37.9517646,-121.2976278,0.0,,,,,0
3698,3698,Market & Airport Eastbound,Market And Airport East Bound,MARKET ST & AIRPORT WY,37.954374,-121.2736036,0.0,,,,,0
3699,3699,Market & Della Eastbound,Market And Della East Bound,,37.9551881,-121.2688458,,,,,,0
3700,3700,Main & Laurel Eastbound,Main And Laurel East Bound,MAIN ST & LAUREL ST,37.9553228,-121.2625828,,,,,,0
3701,3701,Main & Court Eastbound,Main And Court East Bound,,37.9551663,-121.2595588,0.0,,,,,0
3702,3702,Main & Marsh Eastbound,Main And Marsh East Bound,,37.9550563,-121.257318,,,,,,0
3704,3704,Main & Golden Gate Eastbound,Main And Golden Gate East Bound,,37.9543728,-121.2441291,,,,,,0
3705,3705,Main & Netherton Eastbound,Main And Netherton East Bound,,37.9542921,-121.2423838,,,,,,0
3706,3706,Main & Anteros Eastbound,Main And Anteros East Bound,,37.9540251,-121.2372506,,,,,,0
3707,3707,Oro & Horner Northbound,Oro And Horner North Bound,,37.9576118,-121.2357741,,,,,,0
3708,3708,Oro & Washington Northbound,Oro And Washington North Bound,,37.9622751,-121.237571,,,,,,0
3684,3684,Main & Netherton Westbound,Main And Netherton West Bound,,37.9544403,-121.2421156,,,,,,0
3685,3685,Main & Golden Gate Westbound,Main And Golden Gate West Bound,,37.9545773,-121.2449718,,,,,,0
7149,7149,Main & Filbert Westbound,Main And Filbert West Bound,,37.9549371,-121.2522708,,,,,,0
3687,3687,Main & E Westbound,Main And E West Bound,,37.955187,-121.2570298,0.0,,,,,0
3689,3689,Main & Lafayette Westbound,Main And Lafayette West Bound,,37.9553875,-121.261158,,,,,,0
3690,3690,Main & Della Westbound,Main And Della West Bound,,37.9557646,-121.2685503,,,,,,0
3691,3691,Main & Sierra Nevada Westbound,Main And Sierra Nevada West Bound,,37.9557095,-121.2730996,,,,,,0
3861,3861,Weber & Tuleburg Westbound,Weber And Tuleburg West Bound,,37.9529278,-121.2951,0.0,,,,,0
3863,3863,Church & San Jose Westbound,Church And San Jose West Bound,,37.9453058,-121.3035458,0.0,,,,,0
3854,3854,Church & Pershing Eastbound,Church And Pershing East Bound,CHURCH ST & PERSHING AVE,37.9449653,-121.3077651,0.0,,,,,0
7248,7248,Los Angeles & Sonora Southbound,Los Angeles And Sonora South Bound,,37.9430643,-121.3147748,,,,,,0
7045,7045,Alpine & Delaware Eastbound,Alpine And Delaware East Bound,,37.971663,-121.3323823,,,,,,0
3608,3608,Stanislaus & Weber Southbound,Stanislaus And Weber South Bound,,37.9548323,-121.2822846,,,,,,0
7042,7042,Country Club & Pershing Westbound,Country Club And Pershing West Bound,,37.9694411,-121.3154788,0.0,,,,,0
3339,3339,Wilson & Park (Eastland Plz) Northbound,Wilson And Park (Eastland Plz) North Bound,,37.9631281,-121.2734713,0.0,,,,,0
3340,3340,Wilson & Poplar Northbound,Wilson And Poplar North Bound,,37.9645456,-121.2738765,0.0,,,,,0
3341,3341,Wilson & Roosevelt Northbound,Wilson And Roosevelt North Bound,,37.9671618,-121.2745421,0.0,,,,,0
7088,7088,Wilson & Harding Northbound,Wilson And Harding North Bound,,37.9712373,-121.2756646,0.0,,,,,0
3345,3345,Funston & Orwood Northbound,Funston And Orwood North Bound,,37.976442,-121.2736581,0.0,,,,,0
3346,3346,Funston & Sanguinetti Eastbound,Funston And Sanguinetti East Bound,,37.9813551,-121.2708666,0.0,,,,,0
3349,3349,Filbert & Waterloo Southbound,Filbert And Waterloo South Bound,,37.9763681,-121.2612736,0.0,,,,,0
3351,3351,Golden Gate & John Northbound,Golden Gate And John North Bound,,37.9770011,-121.2552473,0.0,,,,,0
3352,3352,Waterloo & Sunset Westbound,Waterloo And Sunset West Bound,,37.9788376,-121.2592036,0.0,,,,,0
3365,3365,Funston & Orwood Southbound,Funston And Orwood South Bound,,37.9769261,-121.2735241,0.0,,,,,0
3344,3344,Funston & Bradford Northbound,Funston And Bradford North Bound,,37.9745341,-121.2744603,0.0,,,,,0
3343,3343,Bradford & Wilson Eastbound,Bradford And Wilson East Bound,,37.9738821,-121.2758588,0.0,,,,,0
7097,7097,Wilson & Harding Southbound,Wilson And Harding South Bound,,37.9705425,-121.2755397,0.0,,,,,0
3367,3367,Wilson & Acacia Southbound,Wilson And Acacia South Bound,,37.9655283,-121.2742688,0.0,,,,,0
3368,3368,Wilson & Oak Southbound,Wilson And Oak South Bound,,37.9619111,-121.2733493,0.0,,,,,0
3338,3338,Stanislaus & Miner Northbound,Stanislaus And Miner North Bound,,37.9568296,-121.2826346,0.0,,,,,0
7054,7054,Country Club & Pershing Eastbound,Country Club And Pershing East Bound,,37.9692221,-121.3158015,0.0,,,,,0
7128,7128,8Th & B Eastbound,8Th And B East Bound,8TH ST & B ST,37.9339456,-121.2549458,0.0,,,,,0
3550,3550,Stanislaus & Lafayette Northbound,Stanislaus And Lafayette North Bound,,37.9509993,-121.2810933,0.0,,,,,0
3552,3552,Stanislaus & Main Northbound,Stanislaus And Main North Bound,,37.953722,-121.2818171,0.0,,,,,0
3555,3555,El Dorado & Fremont Northbound,El Dorado And Fremont North Bound,,37.9577509,-121.2910916,0.0,,,,,0
3558,3558,El Dorado & Acacia Northbound,El Dorado And Acacia North Bound,,37.96295,-121.2924981,0.0,,,,,0
3559,3559,El Dorado & Willow Northbound,El Dorado And Willow North Bound,,37.9663763,-121.2934258,0.0,,,,,0
7130,7130,El Dorado & Sperry Northbound,El Dorado And Sperry North Bound,,37.9684818,-121.2941128,,,,,,0
3561,3561,El Dorado & Adams Northbound,El Dorado And Adams North Bound,,37.9740596,-121.2965226,0.0,,,,,0
3563,3563,El Dorado & Alpine Northbound,El Dorado And Alpine North Bound,,37.9805621,-121.2994241,0.0,,,,,0
3564,3564,El Dorado & Fulton Northbound,El Dorado And Fulton North Bound,EL DORADO ST & FULTON ST,37.9831938,-121.3004886,0.0,,,,,0
3598,3598,El Dorado & Churchill Southbound,El Dorado And Churchill South Bound,,37.985838,-121.301699,,,,,,0
3570,3570,El Dorado & Lincoln Northbound,El Dorado And Lincoln North Bound,,38.016734,-121.3122611,,,,,,0
4031,4031,Hammer & Lan Ark Westbound,Hammer And Lan Ark West Bound,,38.0210393,-121.3098525,0.0,,,,,0
3574,3574,Knickerbocker & Palisades Eastbound,Knickerbocker And Palisades East Bound,,38.0232423,-121.2983766,,,,,,0
7131,7131,Knickerbocker & West Lane Eastbound,Knickerbocker And West Lane East Bound,,38.0242061,-121.2943883,,,,,,0
3576,3576,Bordeaux & Moulin Eastbound,Bordeaux And Moulin East Bound,,38.0237299,-121.2909903,,,,,,0
3577,3577,Bordeaux & Chateau Eastbound,Bordeaux And Chateau East Bound,,38.0237479,-121.2890328,,,,,,0
3579,3579,Bordeaux & Burgundy Eastbound,Bordeaux And Burgundy East Bound,,38.0242066,-121.2838883,,,,,,0
3580,3580,Burgundy & Cherbourg Northbound,Burgundy And Cherbourg North Bound,,38.0253973,-121.2833674,,,,,,0
7132,7132,Cherbourg & Pyreness Northbound,Cherbourg And Pyreness North Bound,,38.0281399,-121.285315,,,,,,0
3581,3581,Cherbourg & Sandalwood Northbound,Cherbourg And Sandalwood North Bound,,38.0320483,-121.2859145,,,,,,0
3589,3589,West Lane @ Christian Center Northbound,West Lane At Christian Center North Bound,,38.0299871,-121.2952908,0.0,,,,,0
7133,7133,Prospector & Tam O'Shanter Westbound,Prospector And Tam O'Shanter West Bound,PROSPECTOR DR & TAM O'SHANTER DR,38.0326053,-121.3005275,0.0,,,,,0
4030,4030,Hammer & Tam O`Shanter Westbound,Hammer And Tam O`Shanter West Bound,,38.0211086,-121.3009801,0.0,,,,,0
3572,3572,Iris & Lan Ark Eastbound,Iris And Lan Ark East Bound,,38.022192,-121.3099099,0.0,,,,,0
3599,3599,El Dorado & Fulton Southbound,El Dorado And Fulton South Bound,,37.9829365,-121.3005643,,,,,,0
3601,3601,El Dorado & Noble Southbound,El Dorado And Noble South Bound,,37.9761693,-121.2978718,,,,,,0
3602,3602,El Dorado & Castle Southbound,El Dorado And Castle South Bound,,37.9743191,-121.2969568,,,,,,0
7134,7134,Center & Harding Southbound,Center And Harding South Bound,,37.9670633,-121.2951515,0.0,,,,,0
3603,3603,Center & Acacia Southbound,Center And Acacia South Bound,,37.9625328,-121.2939105,0.0,,,,,0
3604,3604,Center & Flora Southbound,Center And Flora South Bound,,37.9605688,-121.2933691,0.0,,,,,0
3610,3610,Stanislaus & Lafayette Southbound,Stanislaus And Lafayette South Bound,,37.9508548,-121.2811953,,,,,,0
3611,3611,Stanislaus & Worth Southbound,Stanislaus And Worth South Bound,,37.9452141,-121.2796753,,,,,,0
7135,7135,Ralph & Airport Eastbound,Ralph And Airport East Bound,RALPH AVE & AIRPORT WY,37.9202728,-121.2621683,,,,,,0
3617,3617,Ralph & Anne Eastbound,Ralph And Anne East Bound,,37.9214019,-121.2576785,,,,,,0
3901,3901,Ralph & Zamora Westbound,Ralph And Zamora West Bound,RALPH AVE & ZAMORA WY,37.9221736,-121.2553546,,,,,,0
3619,3619,B & Ralph Northbound,B And Ralph North Bound,,37.9233053,-121.251071,,,,,,0
3406,3406,8Th & Laguna Eastbound,8Th And Laguna East Bound,,37.9265615,-121.3065276,0.0,,,,,0
7104,7104,8Th & Argonaut Westbound,8Th And Argonaut West Bound,,37.926719,-121.3032136,0.0,,,,,0
7015,7015,Manthey & 8Th Northbound,Manthey And 8Th North Bound,,37.9255071,-121.2954638,,,,,,0
3135,3135,Lincoln & 7Th Northbound,Lincoln And 7Th North Bound,,37.9285381,-121.2903645,0.0,,,,,0
3136,3136,Lincoln & Kohler Northbound,Lincoln And Kohler North Bound,,37.9309245,-121.2916605,0.0,,,,,0
3137,3137,Lincoln & 4Th Northbound,Lincoln And 4Th North Bound,,37.9321483,-121.2920793,0.0,,,,,0
3138,3138,Lincoln & French Camp Northbound,Lincoln And French Camp North Bound,,37.9345766,-121.2929066,0.0,,,,,0
7035,7035,Lincoln & Charter Northbound,Lincoln And Charter North Bound,,37.9378131,-121.2938251,0.0,,,,,0
3139,3139,Lincoln & Jackson Northbound,Lincoln And Jackson North Bound,,37.9394163,-121.2942771,0.0,,,,,0
3411,3411,Pacific & Robinhood Northbound,Pacific And Robinhood North Bound,,38.0004071,-121.3161841,0.0,,,,,0
7106,7106,Swain & Pershing Westbound,Swain And Pershing West Bound,,38.002185,-121.3281213,0.0,,,,,0
3767,3767,Pershing & Buckingham Northbound,Pershing And Buckingham North Bound,,37.9999751,-121.3260138,0.0,,,,,0
